Course Code,Course Title,Session,Cr Hrs,Day and Time,Instructor
ACCT 100 LEC 1,Principles of Financial Accounting,16W,3,TR 9:30AM-10:45AM,
ACCT 100 LEC 2,Principles of Financial Accounting,16W,3,MW 11:00AM-12:15PM,Abdul Rauf
ACCT 130 LEC 1,Principles of Management Accounting,16W,3,TR 12:30PM-1:45PM,Mahin Moazzam
ACCT 220 LEC 1,Corporate Financial Reporting I,16W,3,MW 2:00PM-3:15PM,Saira Rizwan
ACCT 250 LEC 1,Auditing,16W,3,TR 11:00AM-12:15PM,Syed Zain ul Abidin
ACCT 250 LEC 2,Auditing,16W,3,TR 12:30PM-1:45PM,Syed Zain ul Abidin
ACCT 250 LEC 3,Auditing,16W,3,TR 9:30AM-10:45AM,Mahin Moazzam
ACCT 320 LEC 1,Corporate Financial Reporting II,16W,3,MW 11:00AM-12:15PM,Samia Ahmed Ali
ACCT 320 LEC 2,Corporate Financial Reporting II,16W,3,Spring24_Formatted.csv,Samia Ahmed Ali
ACCT 320 LEC 3,Corporate Financial Reporting II,16W,3,TR 2:00PM-3:15PM,Samia Ahmed Ali
ACCT 352 LEC 1,Advanced Auditing,16W,3,MW 9:30AM-10:45AM,Abdul Rauf
ACCT 370 LEC 1,Applied Taxation,16W,3,TR 11:00AM-12:15PM,
ACCT 370 LEC 2,Applied Taxation,16W,3,TR 12:30PM-1:45PM,
ACCT 411 LEC 1,Applied Financial Analysis,16W,3,MW 3:30PM-4:45PM,Saira Rizwan
ACF 5101 LEC 1,Financial Management and Accounting,MS2,3,SU 2:00PM-4:00PM,"Asad Alam
Syed Mubashir Ali"
ACTA 6201 LEC 1,Business Analytics - Foundations,MS2,3,SU 10:45AM-12:45PM,Maheen Aamir Syed
ACTA 6202 LEC 1,Analytics in Accounting and Control,MS2,3,SU 4:30PM-6:30PM,Ali Qamar
ACTA 6301 LEC 1,Information Systems - Design and Security,MS2,3,SU 8:30AM-10:30AM,
ACTA 6302 LEC 1,Business Intelligence and Big Data Statistics,MS2,3,SU 2:00PM-4:00PM,Ussama Yaqub
ANR 100 LEC 1,Introduction to Cultural AnRropology,16W,4,MW 12:00PM-1:50PM,Lukas Albert Paul WerR
ANR 100 LEC 2,Introduction to Cultural AnRropology,16W,4,MW 2:00PM-3:50PM,Dominic William Esler
ANR 244 LEC 1,Political AnRropology,16W,4,TR 10:00AM-11:50AM,Ghazal Asif
ANR 253 LEC 1,Women's Lives Across Cultures,16W,4,TR 4:00PM-5:50PM,Rabia Kamal
ANR 266 LEC 1,Kinship: Making Sense of Human Relations,16W,4,MW 2:00PM-3:50PM,Syeedda Anjum Ara Alvi
ANR 310 LEC 1,Classical AnRropological Reory,16W,4,TR 8:00AM-9:50AM,Lukas Albert Paul WerR
ANR 320 LEC 1,Qualitative Research MeRods,16W,4,MW 2:00PM-3:50PM,Ghazal Asif
ANR 363 LEC 1,Muslim Veiling: Re Struggle for Identities in Dias,16W,4,TR 10:00AM-11:50AM,Syeedda Anjum Ara Alvi
ANR 483 LEC 1,Caste in SouR Asia and Beyond,16W,4,MW 10:00AM-11:50AM,Dominic William Esler
BIO 100 LEC 1,Biology Laboratory,8Wk2,1,R 9:00AM-9:50AM,"Muhammad Tariq
Khurram Bashir
Zaigham Shahzad"
BIO 100 LEC 2,Biology Laboratory,8Wk2,1,M 9:00AM-9:50AM,"Zaigham Shahzad
Muhammad Tariq
Khurram Bashir"
BIO 100 LEC 3,Biology Laboratory,8Wk2,1,W 9:00AM-9:50AM,"Muhammad Tariq
Khurram Bashir
Zaigham Shahzad"
BIO 100 LEC 4,Biology Laboratory,8Wk2,1,T 9:00AM-9:50AM,"Zaigham Shahzad
Muhammad Tariq
Khurram Bashir"
BIO 100 LEC 5,Biology Laboratory,8Wk1,1,R 9:00AM-9:50AM,"Muhammad Tariq
Khurram Bashir
Zaigham Shahzad"
BIO 100 LEC 6,Biology Laboratory,8Wk1,1,M 9:00AM-9:50AM,"Zaigham Shahzad
Muhammad Tariq
Khurram Bashir"
BIO 100 LEC 7,Biology Laboratory,8Wk1,1,W 9:00AM-9:50AM,"Muhammad Tariq
Khurram Bashir
Zaigham Shahzad"
BIO 100 LEC 8,Biology Laboratory,8Wk1,1,T 9:00AM-9:50AM,"Zaigham Shahzad
Muhammad Tariq
Khurram Bashir"
BIO 100 LAB 1,Biology Laboratory,8Wk2,1,R 10:00AM-12:50PM,Khalida Mazhar
BIO 100 LAB 2,Biology Laboratory,8Wk2,1,M 10:00AM-12:50PM,Khalida Mazhar
BIO 100 LAB 3,Biology Laboratory,8Wk2,1,W 10:00AM-12:50PM,Khalida Mazhar
BIO 100 LAB 4,Biology Laboratory,8Wk2,1,T 10:00AM-12:50PM,Khalida Mazhar
BIO 100 LAB 5,Biology Laboratory,8Wk1,1,R 10:00AM-12:50PM,Khalida Mazhar
BIO 100 LAB 6,Biology Laboratory,8Wk1,1,M 10:00AM-12:50PM,Khalida Mazhar
BIO 100 LAB 7,Biology Laboratory,8Wk1,1,W 10:00AM-12:50PM,Khalida Mazhar
BIO 100 LAB 8,Biology Laboratory,8Wk1,1,T 10:00AM-12:50PM,Khalida Mazhar
BIO 101 LEC 1,Introductory Biology,16W,3,MW 10:30AM-11:45AM,"Muhammad Shoaib
Safee Ullah Chaudhary
Muhammad Tariq
Zaigham Shahzad
Khurram Bashir"
BIO 101 LEC 2,Introductory Biology,16W,3,MW 4:30PM-5:45PM,"Zaigham Shahzad
Khurram Bashir
Muhammad Tariq
Muhammad Shoaib
Safee Ullah Chaudhary"
BIO 212 LEC 1,Biochemistry,16W,3,TR 12:30PM-1:45PM,Muhammad Shoaib
BIO 231 LEC 1,Computational Biology I,16W,3,MW 1:30PM-2:45PM,Safee Ullah Chaudhary
BIO 314 LEC 1,Virology and Microbiology,16W,3,MW 3:00PM-4:15PM,Shaper Mirza
BIO 402 SEM 1,Seminar in Biology II,16W,1,M 12:00PM-12:50PM,Khurram Bashir
BIO 415 LEC 1,Developmental Biology I,16W,4,TR 10:30AM-12:20PM,"Muhammad Shoaib
Muhammad Tariq"
BIO 512 LEC 1,Advance Biochemistry,16W,3,MW 12:00PM-1:15PM,
BIO 519 LEC 1,Immunology,16W,3,TR 12:30PM-1:45PM,Shaper Mirza
BIO 5311 LEC 1,Advanced Biostatistics,16W,3,TR 2:00PM-3:15PM,Safee Ullah Chaudhary
BIO 611 LEC 1,Cell Signaling,16W,3,TR 3:30PM-4:45PM,"Muhammad Shoaib
Muhammad Tariq"
BIO 621 LEC 1,Genetics and Genomics,16W,3,MW 3:00PM-4:15PM,"Zaigham Shahzad
Muhammad Tariq
Khurram Bashir"
BPP 6101 LEC 1,Policy Design and Delivery,MS2,3,SU 2:00PM-4:00PM,Muhammad Ahsan Rana
BPP 6102 LEC 1,Business and Government Relations,MS2,3,SU 4:15PM-6:15PM,Ghazal Mir Zulfiqar
BPP 6103 LEC 1,Policy Analysis and Communication,MS2,3,SU 8:30AM-10:30AM,
BPP 6104 LEC 1,"Firms, Markets and Public Policy",MS2,3,SU 11:00AM-1:00PM,Misbah Tanveer Chaudhry
CHE 230 LEC 1,Chemical Engineering Rermodynamics,16W,3,TR 10:00AM-11:15AM,Faheem Hassan Akhtar
CHE 273 LEC 1,Fluid Mechanics,16W,3,TR 8:00AM-9:15AM,Qasim Imtiaz
CHE 280 LEC 1,MaR MeRods in Chemical Engineering I,16W,3,TR 3:00PM-4:15PM,Rofice Dickson
CHE 300B LAB 1,Chemical Engineering Lab III,16W,1,M 1:30PM-4:20PM,"Faheem Hassan Akhtar
Ali Rauf"
CHE 300C LAB 1,Chemical Engineering Lab IV,16W,1,M 1:30PM-4:20PM,"Tauqeer Abbas
Shahana Khurshid"
CHE 313 LEC 1,Material Science and Engineering,16W,3,TR 4:00PM-5:15PM,Salman Noshear Arshad
CHE 315 LEC 1,Chemical Process Simulation,16W,2,TR 12:30PM-1:20PM,Rofice Dickson
CHE 360 LEC 1,Chemical Kinetics and Reaction Engineering,16W,3,TR 2:00PM-3:15PM,Ali Rauf
CHE 390 LEC 1,Transport Phenomena,16W,3,MW 8:00AM-9:15AM,Qasim Imtiaz
CHE 412 LEC 1,Membrane Science and Engineering,16W,3,MW 11:00AM-12:15PM,Faheem Hassan Akhtar
CHE 414 LEC 1,Biochemical Engineering,16W,3,TR 11:00AM-12:15PM,Shahana Khurshid
CHE 430 LEC 1,Chemical Process Control,16W,3,MW 12:00PM-1:15PM,Qandeel Almas
CHE 712 LEC 1,Advanced Reaction Engineering,16W,3,MW 11:30AM-12:45PM,Tauqeer Abbas
CHE 713 LEC 1,Engineering Rermodynamics,16W,3,TR 8:00AM-9:15AM,Faheem Hassan Akhtar
CHEM 100 LEC 1,Experimental Chemistry,8Wk1,1,R 9:00AM-9:50AM,"Basit Yameen
Habib-ur- Rehman"
CHEM 100 LEC 2,Experimental Chemistry,8Wk1,1,M 9:00AM-9:50AM,"Habib-ur- Rehman
Basit Yameen"
CHEM 100 LEC 3,Experimental Chemistry,8Wk1,1,W 9:00AM-9:50AM,"Basit Yameen
Habib-ur- Rehman"
CHEM 100 LEC 4,Experimental Chemistry,8Wk1,1,T 9:00AM-9:50AM,"Habib-ur- Rehman
Basit Yameen"
CHEM 100 LEC 5,Experimental Chemistry,8Wk2,1,R 9:00AM-9:50AM,"Basit Yameen
Habib-ur- Rehman"
CHEM 100 LEC 6,Experimental Chemistry,8Wk2,1,M 9:00AM-9:50AM,"Habib-ur- Rehman
Basit Yameen"
CHEM 100 LEC 7,Experimental Chemistry,8Wk2,1,W 9:00AM-9:50AM,"Basit Yameen
Habib-ur- Rehman"
CHEM 100 LEC 8,Experimental Chemistry,8Wk2,1,T 9:00AM-9:50AM,"Basit Yameen
Habib-ur- Rehman"
CHEM 100 LAB 1,Experimental Chemistry,8Wk1,1,R 10:00AM-12:50PM,"Habib-ur- Rehman
Basit Yameen"
CHEM 100 LAB 2,Experimental Chemistry,8Wk1,1,M 10:00AM-12:50PM,"Basit Yameen
Habib-ur- Rehman"
CHEM 100 LAB 3,Experimental Chemistry,8Wk1,1,W 10:00AM-12:50PM,"Basit Yameen
Habib-ur- Rehman"
CHEM 100 LAB 4,Experimental Chemistry,8Wk1,1,T 10:00AM-12:50PM,"Basit Yameen
Habib-ur- Rehman"
