Course Code,Course Title,Cr_Hrs,Session,Instructor,Day and Time
ACCT 100 LEC 1,Principles of Financial Accounting,3.0,16W,Syed Zain ul Abidin,MW 09:30AM-10:45AM
ACCT 100 LEC 2,Principles of Financial Accounting,3.0,16W,Syed Zain ul Abidin,MW 11:00AM-12:15PM
ACCT 100 LEC 3,Principles of Financial Accounting,3.0,16W,Syed Zain ul Abidin,MW 03:30PM-04:45PM
ACCT 100 LEC 4,Principles of Financial Accounting,3.0,16W,Syed Zain ul Abidin,MW 05:00PM-06:15PM
ACCT 100 LEC 5,Principles of Financial Accounting,3.0,16W,Zainab Mehmood,TR 09:30AM-10:45AM
ACCT 100 LEC 6,Principles of Financial Accounting,3.0,16W,Zainab Mehmood,TR 02:00PM-03:15PM
ACCT 100 LEC 7,Principles of Financial Accounting,3.0,16W,TBA,TR 03:30PM-04:45PM
ACCT 130 LEC 1,Principles of Management Accounting,3.0,16W,Ayesha Bhatti,TR 09:30AM-10:45AM
ACCT 130 LEC 2,Principles of Management Accounting,3.0,16W,Ayesha Bhatti,TR 11:00AM-12:15PM
ACCT 130 LEC 3,Principles of Management Accounting,3.0,16W,Ayesha Bhatti,TR 02:00PM-03:15PM
ACCT 130 LEC 4,Principles of Management Accounting,3.0,16W,Ayesha Bhatti,TR 03:30PM-04:45PM
ACCT 130 LEC 5,Principles of Management Accounting,3.0,16W,Mahin Moazzam,TR 11:00AM-12:15PM
ACCT 130 LEC 6,Principles of Management Accounting,3.0,16W,Mahin Moazzam,TR 12:30PM-01:45PM
ACCT 202 LEC 1,Theory and Concepts of Accounting -Islamic Perspective,3.0,16W,TBA,MW 09:30AM-10:45AM
ACCT 220 LEC 1,Corporate Financial Reporting I,3.0,16W,Samia Ahmed Ali,TR 11:00AM-12:15PM
ACCT 220 LEC 2,Corporate Financial Reporting I,3.0,16W,Samia Ahmed Ali,TR 12:30PM-01:45PM
ACCT 220 LEC 3,Corporate Financial Reporting I,3.0,16W,Zainab Mehmood,MW 12:30PM-01:45PM
ACCT 331 LEC 1,Strategic Management Accounting and Control Systems,3.0,16W,TBA,TR 05:00PM-06:15PM
ACCT 352 LEC 1,Advanced Auditing,3.0,16W,TBA,MW 11:00AM-12:15PM
ACCT 482 LEC 1,"Governance, Risk and Compliance",3.0,16W,Saira Rizwan,MW 05:00PM-06:15PM
ACF 2101 LEC 1,Introduction to Finance and Accounting,1.5,SDSB-Foundation,Omair Haroon,MFSU 04:00PM-06:00PM
ACF 2101 LEC 2,Introduction to Finance and Accounting,1.5,SDSB-Foundation,TBA,MFSU 02:00PM-04:00PM
ANTH 100 LEC 1,Introduction to Cultural Anthropology,4.0,16W,Syeedda Anjum Ara Alvi,MW 04:00PM-05:50PM
ANTH 100 LEC 2,Introduction to Cultural Anthropology,4.0,16W,Rabia Kamal,TR 04:00PM-05:50PM
